-246,41
-234,62
-223,83
-212,105
-200,128
-192,151
-182,174
-173,198
-166,221
-155,245
-144,267
-132,288
-118,282
-99,268
-79,257
-60,244
-40,235
-19,223
1,211
21,201
41,189
60,178
80,166
99,154
119,142
138,129
158,119
177,107
197,96
217,84
236,73
250,56
242,34
231,10
219,-10
207,-32
196,-55
188,-79
180,-102
171,-125
162,-149
153,-172
142,-195
129,-212
112,-206
93,-194
74,-181
54,-169
34,-155
16,-143
-3,-128
-22,-115
-41,-102
-60,-90
-79,-78
-98,-64
-119,-52
-137,-39
-156,-26
-175,-13
-194,1
-213,13
-232,26
-250,38
