-159,465
-155,480
-148,496
-140,516
-135,531
-130,551
-124,568
-119,591
-116,611
-111,631
-109,651
-106,674
-104,697
-102,714
-98,727
-92,709
-84,692
-77,679
-70,664
-63,646
-54,634
-48,616
-41,599
-33,583
-26,566
-18,553
-11,538
-2,523
6,511
14,496
23,485
32,473
41,463
51,453
60,448
71,440
80,430
91,425
100,418
111,410
120,405
130,398
140,393
150,382
160,375
170,367
179,360
189,350
199,342
209,335
218,325
227,315
237,307
248,300
256,292
265,284
276,279
285,269
296,262
305,254
316,249
325,239
335,229
341,227
