-202,477
-203,506
-202,535
-199,567
-196,594
-190,620
-183,643
-171,655
-159,652
-146,649
-134,646
-122,637
-110,626
-101,614
-89,599
-80,579
-72,556
-62,538
-52,521
-41,498
-32,486
-20,474
-9,463
4,454
16,445
29,442
41,437
54,442
65,448
76,466
82,492
85,521
88,550
89,579
93,608
97,617
98,588
97,559
97,527
99,498
103,469
113,454
126,442
136,439
149,437
161,431
174,431
186,428
199,428
211,425
224,422
236,413
248,402
259,390
270,376
277,352
283,323
289,297
295,271
297,242
297,210
292,184
285,169
279,155
