-264,381
-247,374
-231,374
-215,374
-199,374
-183,376
-167,376
-150,374
-134,371
-119,371
-102,371
-86,374
-70,374
-55,376
-37,376
-22,376
-5,374
11,371
27,374
42,374
60,374
75,376
91,374
108,378
124,381
140,386
156,383
172,386
187,391
203,391
218,393
216,383
203,361
189,344
176,320
164,300
152,278
140,259
127,239
113,220
100,203
96,195
109,210
123,227
136,249
148,271
160,293
173,310
187,330
199,349
212,371
226,388
236,408
227,435
216,461
207,486
196,513
187,539
179,566
169,595
159,622
148,647
139,674
129,695
