-193,162
-188,147
-184,130
-179,114
-174,98
-168,84
-163,68
-157,52
-149,37
-145,20
-139,4
-133,-10
-127,-26
-120,-37
-109,-29
-98,-20
-88,-9
-76,1
-67,14
-57,21
-45,29
-33,39
-22,47
-10,55
1,64
12,72
24,82
35,90
47,98
58,107
70,115
82,125
92,133
103,139
115,146
127,155
140,160
152,168
164,174
176,181
187,187
199,193
211,200
223,209
234,217
246,225
255,235
267,244
278,252
290,260
302,270
307,281
298,295
292,310
286,326
279,342
276,356
270,372
264,388
259,402
254,418
247,434
241,448
236,463
