-152,186
-135,181
-119,176
-103,171
-88,166
-72,160
-57,156
-42,150
-26,143
-10,140
5,133
22,130
39,124
54,119
67,111
84,106
99,99
114,92
132,89
147,81
162,76
179,71
194,63
209,60
224,53
241,50
258,45
273,42
288,37
304,32
320,27
335,20
348,17
342,33
332,48
326,65
316,79
309,96
303,111
297,129
289,147
283,161
276,178
268,192
261,211
255,227
249,243
242,260
236,278
230,294
224,311
218,327
212,343
205,360
197,376
191,392
185,409
178,425
171,442
165,458
156,473
153,489
146,502
144,517
