-172,218
-163,232
-159,246
-149,262
-144,276
-138,292
-134,306
-128,324
-122,340
-118,354
-113,370
-110,386
-104,402
-93,399
-82,393
-69,386
-56,381
-45,372
-33,363
-21,358
-9,347
3,342
15,333
28,324
39,319
53,312
64,305
77,296
90,289
101,282
112,273
123,266
136,255
147,250
160,239
172,232
182,221
196,216
208,207
220,202
233,195
246,189
258,182
269,177
283,170
295,163
306,152
317,145
328,138
321,122
316,108
312,90
306,76
300,60
295,44
290,28
285,12
279,-2
275,-20
269,-36
265,-50
260,-66
254,-84
250,-98
