-171,28
-150,19
-129,12
-106,9
-82,8
-57,7
-35,5
-11,6
13,6
37,6
62,7
86,7
110,6
134,3
156,1
182,0
204,-3
228,-4
252,-4
277,-5
301,-4
324,-5
329,4
316,20
302,37
289,53
274,69
260,85
245,101
232,118
219,133
204,151
190,167
175,182
162,199
149,215
135,232
121,247
110,232
106,212
105,192
106,173
107,152
109,133
110,113
111,94
111,74
110,53
103,33
98,14
93,-5
90,-25
84,-45
81,-64
72,-83
66,-103
58,-121
50,-140
45,-160
42,-179
36,-198
33,-219
26,-238
21,-253
