-95,164
-80,168
-64,175
-46,179
-27,183
-11,189
8,194
25,197
42,203
57,209
74,216
92,224
107,231
124,241
141,247
156,252
175,258
193,263
208,269
225,277
244,282
260,288
279,294
292,301
311,307
328,313
343,319
360,326
373,332
390,335
405,341
405,329
399,313
392,297
385,283
378,268
372,252
365,238
358,222
350,206
343,190
336,175
326,162
321,145
311,129
303,115
296,99
287,85
281,68
274,52
269,38
264,19
259,3
255,-12
252,-26
247,-42
240,-60
235,-74
227,-88
220,-104
213,-118
207,-133
200,-149
196,-159
