-169,165
-152,173
-134,181
-116,183
-97,184
-77,186
-59,184
-38,187
-20,187
-1,186
17,183
36,180
56,175
74,170
93,164
112,159
129,156
148,151
168,145
187,139
204,131
221,122
239,112
257,103
273,94
288,81
304,67
319,53
331,39
330,17
320,0
308,-17
295,-31
276,-31
261,-22
244,-11
229,1
214,15
200,31
185,45
172,59
157,73
143,89
130,106
118,122
106,139
94,156
85,175
75,194
67,212
60,233
56,253
52,273
50,297
52,319
56,339
61,359
70,380
81,395
93,412
106,430
119,445
133,458
147,469
