-12,104
9,121
28,137
49,154
72,167
99,181
121,195
146,211
173,224
201,235
228,246
253,257
279,272
306,281
334,292
363,303
393,313
418,323
445,335
467,349
471,328
473,306
475,284
475,264
477,242
479,220
477,199
479,177
481,156
483,134
481,114
481,92
481,70
481,49
481,27
483,7
483,-15
483,-37
486,-58
488,-80
488,-100
486,-121
486,-143
467,-151
441,-140
418,-124
399,-109
378,-91
351,-80
323,-66
296,-56
266,-47
241,-33
216,-18
192,-4
169,12
152,30
129,45
112,63
89,80
66,92
38,102
9,111
-8,117
