-148,567
-161,554
-168,531
-173,498
-172,465
-171,429
-167,399
-159,370
-148,360
-135,347
-122,343
-110,347
-96,353
-85,370
-73,389
-65,409
-56,439
-48,468
-43,498
-37,528
-30,560
-22,583
-14,606
-4,630
8,646
21,656
34,662
46,669
60,672
74,672
85,666
96,646
100,613
105,577
107,544
110,531
112,564
117,593
126,610
139,616
152,616
164,606
176,590
187,570
198,554
210,534
222,514
233,508
247,501
260,505
273,518
283,531
294,551
303,580
312,606
319,633
323,662
327,699
327,731
326,768
323,801
314,827
303,843
296,843
